level,statement,option_A,option_B,option_C,option_D,answer,time
W>L (*3),下面提供的幾種識別礦泉水真假的方法哪一種是錯誤的？,在日光下無色透明,折光率較自來水大,礦化度較自來水大,同溫下吸熱速度快於自來水,D,20
W=L (*2),下列人物中，哪一個是羅馬神話中的神？,雅典娜,邱比特,蚩尤,黑天,B,10
W=L (*1),國際上用“K”表示含金量，18K表示含金量為?,90%,83%,75%,50%,C,10
W<L (*2),“變臉”是哪個劇種的絕活？,京劇,豫劇,粵劇,川劇,D,10
W>L (*2),汽車在什麼狀態下排放的一氧化碳最多?,高速行駛中,速行駛低速行駛,停車狀態,開發動機,D,20
W>L (*2),人的五感中那個感覺反應最快？,嗅覺,視覺,聽覺,味覺,D,10
W>L (*3),世界上最早的銀行始建於哪個國家？,義大利,美國,法國,瑞士,A,10
W>L (*1),目前觀測到的距地球最近的一顆恆星位於,織女座,仙女座,半人馬座,大熊座,C,10
W=L (*2),哪種病人不宜飲茶?,心血管疾病,急性胃腸炎,潰瘍病　,腎衰竭,C,10
W<L (*2),蕭敬騰知名歌曲中「如果，王子的新衣，可以讓我挑選」的下一句是？,我的腹肌會被看見,我的動脈會被看見,我的結石會被看見,我的真心會被看見,B,10
W=L (*3),小丸子爺爺的全名叫什麼?,櫻桃貴,春野櫻,櫻友藏,櫻廣志,C,10
W<L (*2),"請問""蹦迪""代表的場所是什麼",夜店,餐廳,遊樂園,溜冰場,A,10
W>L (*2),"最近網路上很紅的""時間管理大師""是下列哪一位?",羅百吉,羅志祥,羅大佑,羅比威廉斯,B,10
W<L (*2),下列哪一位女藝人最矮?,楊丞琳,張鈞甯,蔡依林,田馥甄,C,10
W<L (*3),"卡通""米老鼠""的生日是幾月幾號",8月18日,11月18日,9月18日,10月18日,B,10
W<L (*3),西洋調性音樂中，三個升記號為哪個大調,A 大調,B大調,C小調,D大調,A,10
W<L (*3),莫札特屬於哪個樂派,搖滾樂派,古典樂派,浪漫樂派,巴洛克樂派,B,10
W<L (*1),log(2)+log(5) 的值與下列何者最接近?,0.4,0.6,0.8,1,D,15
W>L (*2),下列何止不是弦樂四重奏的樂器?,小提琴,低音大提琴,中提琴,大提琴,B,10
W>L (*3),凍瘡是由於皮膚哪一部分受損而引起的?,毛囊汗腺,豎毛,肌毛,細血管,D,15
W>L (*2),被譽為喀斯特的一顆綠色明珠的茂蘭自然保護區位於___?,貴州省,雲南省,廣西省,西藏自治區,A,10
W<L (*2),2010-2011年NBA賽季中，最終由哪支隊奪得總冠軍？,Miami Heat,Los Angeles Lakers,Dallas Mavericks,Oklahoma City Thunder,C,10
W=L (*3),茶葉加工中不經過發酵的是哪一類茶？,紅茶,綠茶,烏龍茶,菊花茶,B,10
W=L (*1),NBA中的籃球員Michael Jordan的綽號為？,籃球之王,籃球天王,籃球之神,籃球之星,C,10
W>L (*1),下列哪一些人未贏過NBA的MVP獎項?,James Harden,Michael Jordan,Giannis Antetokounmpo,Kawhi Leonard,D,15
W<L (*3),成人牙齒共___顆？,32,36,28,30,A,20
W<L (*1),在五四新文學史上，第一部個人新詩集是?,郭沫若的《女神》,胡適的《嘗試集》,俞平伯的《冬夜》,康白情的《草兒》,B,10
W>L (*3),NBA歷史中，曾在同賽季中獲得MVP又獲得FMVP的球員為何?,Kobe Bryant,Kawhi Leonard,Stephen Curry,Lebron James,D,10
W=L (*2),世界上最大的宮殿為何?,故宮,白宮,愛麗舍宮,克裡姆林宮,A,10
